Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,26 June 2026,5,Nikhil,"Quality was good and 
Fabric was nice"
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,18 May 2026,5,Mahee Mahesh,Nice product in this range 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,6 July 2026,5,Riya Jaiswal,Nice colour and fabric
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,7 Dec 2025,4,Seema Malhotra,Good 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,30 June 2026,5,Nishatiku,Wow product 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,10 July 2026,3,Myntra Customer,Fabric is not good 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,6 Apr 2026,5,Diya,Loved the product 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,11 May 2026,5,Myntra Customer,Amazing fit 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,18 May 2026,5,Shrishti Gupta,Good 
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,15 Mar 2026,2,Shubham Kalal,Only 1 time good
Buy See Designs Pure Cotton Mandarin Collar Thread Work Short Kurta  - Kurtas for Men 33720581 | Myntra,3.9,₹645,29 June 2026,1,Priyanshu Singh,Not good 
